code,name,drug_offense_rate,drug_reoffending,tx_penetration,deprivation,density,budget
E23000013,Cleveland,4.24,0.28,0.51,0.31,940,191
E23000008,Durham,2.27,0.24,0.43,0.13,262,161
E23000007,Northumbria,2.28,0.21,0.45,0.18,260,186
E23000006,Cheshire,2.93,0.21,0.44,0.08,466,124
E23000002,Cumbria,3.15,0.25,0.52,0.08,70,154
E23000005,G Manchester,4.82,0.17,0.4,0.23,2282,180
E23000003,Lancashire,1.85,0.18,0.48,0.2,475,149
E23000004,Merseyside,7.88,0.24,0.5,0.34,1775,210
E23000012,Humberside,1.69,0.21,0.43,0.22,258,158
E23000009,North Yorkshire,1.73,0.28,0.38,0.02,99,110
E23000011,South Yorkshire,3.34,0.2,0.45,0.23,897,164
E23000010,West Yorkshire,3.69,0.21,0.49,0.22,1172,161
E23000018,Derbyshire,2.17,0.19,0.57,0.07,406,122
E23000021,Leicestershire,2.97,0.19,0.45,0.07,446,120
E23000020,Lincolnshire,2.06,0.23,0.5,0.07,127,101
E23000022,Northamptonshire,2.89,0.21,0.47,0.06,335,111
E23000019,Nottinghamshire,3.49,0.22,0.48,0.13,538,140
E23000015,Staffordshire,1.68,0.15,0.5,0.09,422,123
E23000017,Warwickshire,1.72,0.17,0.39,0.02,307,106
E23000016,West Mercia,1.67,0.17,0.45,0.05,177,111
E23000014,West Midlands,2.61,0.17,0.46,0.26,3276,184
E23000026,Bedfordshire,2.54,0.21,0.35,0.02,579,114
E23000023,Cambridgeshire,1.98,0.2,0.47,0.04,267,105
E23000028,Essex,3.01,0.2,0.38,0.04,475,110
E23000027,Hertfordshire,1.77,0.2,0.4,0,733,118
E23000024,Norfolk,2.11,0.24,0.48,0.07,168,114
E23000025,Suffolk,1.85,0.21,0.43,0.05,200,110
E23000001,Metropolitan,4.39,0.25,0.26,0.02,5564,236
E23000030,Hampshire,2.94,0.2,0.46,0.04,475,117
E23000032,Kent,2.81,0.19,0.4,0.06,480,119
E23000031,Surrey,2.03,0.19,0.34,0,727,99
E23000033,Sussex,2.28,0.19,0.4,0.04,449,115
E23000029,Thames Valley,2.36,0.21,0.4,0.01,444,109
E23000036,Avon & Somerset,1.5,0.21,0.45,0.06,351,120
E23000035,Devon & Cornwall,2.2,0.21,0.49,0.06,173,120
E23000039,Dorset,1.29,0.2,0.42,0.03,291,100
E23000037,Gloucestershire,1.67,0.17,0.43,0.03,241,109
E23000038,Wiltshire,1.37,0.21,0.43,0.03,216,101
W15000004,Dyfed-Powys,3.45,0.24,NA,NA,47,66
W15000002,Gwent,2.39,0.21,NA,NA,366,87
W15000001,North Wales,2.01,0.25,NA,NA,108,72
W15000003,South Wales,2.08,0.28,NA,NA,620,90
